Unnamed: 0,Date,Article_title,Stock_symbol,Url,Publisher,Author,title_lower,event_category
1224,2014-01-09 00:00:00 UTC,"#PreMarket Primer: Thursday, January 9: The Day Before the Jobs Report",AA,https://www.nasdaq.com/articles/premarket-primer-thursday-january-9-day-jobs-report-2014-01-09,,,"#premarket primer: thursday, january 9: the day before the jobs report",employment
1232,2014-01-08 00:00:00 UTC,"Markets End Mixed, Despite Positive Jobs Report",AA,https://www.nasdaq.com/articles/markets-end-mixed-despite-positive-jobs-report-2014-01-08,,,"markets end mixed, despite positive jobs report",employment
1363,2013-07-05 00:00:00 UTC,"Spurred Higher by Jobs Report, Dow Settles Above 15,000",AA,https://www.nasdaq.com/articles/spurred-higher-jobs-report-dow-settles-above-15000-2013-07-05,,,"spurred higher by jobs report, dow settles above 15,000",employment
1529,2012-10-02 00:00:00 UTC,Lingering Positivity Ahead of Jobs Reports - Analyst Blog,AA,https://www.nasdaq.com/articles/lingering-positivity-ahead-jobs-reports-analyst-blog-2012-10-02,,,lingering positivity ahead of jobs reports - analyst blog,employment
1730,2011-10-07 00:00:00 UTC,Mid-Day Update: Stocks Mixed as Investors Digest Employment Data,AA,https://www.nasdaq.com/articles/mid-day-update-stocks-mixed-investors-digest-employment-data-2011-10-07,,,mid-day update: stocks mixed as investors digest employment data,employment
1749,2011-07-08 00:00:00 UTC,"Mid-Day Update: Stocks Down, But Off Lows After Disappointing Employment Data",AA,https://www.nasdaq.com/articles/mid-day-update-stocks-down-lows-after-disappointing-employment-data-2011-07-08,,,"mid-day update: stocks down, but off lows after disappointing employment data",employment
1902,2009-10-09 00:00:00 UTC,"In Earnings Season, Who Cares About the Unemployment Rate?",AA,https://www.nasdaq.com/articles/earnings-season-who-cares-about-unemployment-rate-2009-10-09,,,"in earnings season, who cares about the unemployment rate?",employment
2483,2023-07-06 00:00:00 UTC,US STOCKS-Wall St ends lower as labor market strength stokes rate-hike fears,AAL,https://www.nasdaq.com/articles/us-stocks-wall-st-ends-lower-as-labor-market-strength-stokes-rate-hike-fears,,,us stocks-wall st ends lower as labor market strength stokes rate-hike fears,employment
2486,2023-07-06 00:00:00 UTC,Wall St logs sharp losses as labor market strength stokes rate-hike fears,AAL,https://www.nasdaq.com/articles/wall-st-logs-sharp-losses-as-labor-market-strength-stokes-rate-hike-fears,,,wall st logs sharp losses as labor market strength stokes rate-hike fears,employment
4051,2021-11-05 00:00:00 UTC,"US STOCKS-Wall St eyes record open on strong jobs report, Pfizer COVID-19 pill cheer",AAL,https://www.nasdaq.com/articles/us-stocks-wall-st-eyes-record-open-on-strong-jobs-report-pfizer-covid-19-pill-cheer-2021,,,"us stocks-wall st eyes record open on strong jobs report, pfizer covid-19 pill cheer",employment
4861,2020-12-23 00:00:00 UTC,US STOCKS-Futures rise ahead of weekly unemployment data,AAL,https://www.nasdaq.com/articles/us-stocks-futures-rise-ahead-of-weekly-unemployment-data-2020-12-23,,,us stocks-futures rise ahead of weekly unemployment data,employment
5210,2020-10-02 00:00:00 UTC,U.S. employment growth slows in September; unemployment rate drops to 7.9%,AAL,https://www.nasdaq.com/articles/u.s.-employment-growth-slows-in-september-unemployment-rate-drops-to-7.9-2020-10-02,,,u.s. employment growth slows in september; unemployment rate drops to 7.9%,employment
5215,2020-10-01 00:00:00 UTC,US STOCKS-Wall St rises on stimulus bets as labor market rebound cools,AAL,https://www.nasdaq.com/articles/us-stocks-wall-st-rises-on-stimulus-bets-as-labor-market-rebound-cools-2020-10-01-0,,,us stocks-wall st rises on stimulus bets as labor market rebound cools,employment
5227,2020-10-01 00:00:00 UTC,Wall Street rises on stimulus bets as labor market rebound cools,AAL,https://www.nasdaq.com/articles/wall-street-rises-on-stimulus-bets-as-labor-market-rebound-cools-2020-10-01,,,wall street rises on stimulus bets as labor market rebound cools,employment
5320,2020-09-04 00:00:00 UTC,"U.S. job growth seen slowing in August, unemployment rate falling below 10%",AAL,https://www.nasdaq.com/articles/u.s.-job-growth-seen-slowing-in-august-unemployment-rate-falling-below-10-2020-09-04,,,"u.s. job growth seen slowing in august, unemployment rate falling below 10%",employment
5477,2020-07-23 00:00:00 UTC,S&P 500 set to snap winning streak as labor market rebound slows,AAL,https://www.nasdaq.com/articles/sp-500-set-to-snap-winning-streak-as-labor-market-rebound-slows-2020-07-23-0,,,s&p 500 set to snap winning streak as labor market rebound slows,employment
5483,2020-07-23 00:00:00 UTC,S&P 500 eases from five-month high as labor market rebound slows,AAL,https://www.nasdaq.com/articles/sp-500-eases-from-five-month-high-as-labor-market-rebound-slows-2020-07-23,,,s&p 500 eases from five-month high as labor market rebound slows,employment
5487,2020-07-23 00:00:00 UTC,Stimulus bets set to lift Wall Street as labor market rebound slows,AAL,https://www.nasdaq.com/articles/stimulus-bets-set-to-lift-wall-street-as-labor-market-rebound-slows-2020-07-23,,,stimulus bets set to lift wall street as labor market rebound slows,employment
5580,2020-07-02 00:00:00 UTC,Daily Markets: Investors Weigh Jobs Reports Against An Increasingly Uncertain Future,AAL,https://www.nasdaq.com/articles/daily-markets%3A-investors-weigh-jobs-reports-against-an-increasingly-uncertain-future-2020,,,daily markets: investors weigh jobs reports against an increasingly uncertain future,employment
5747,2020-06-05 00:00:00 UTC,Wall Street jumps on surprise improvement in labor market,AAL,https://www.nasdaq.com/articles/wall-street-jumps-on-surprise-improvement-in-labor-market-2020-06-05,,,wall street jumps on surprise improvement in labor market,employment
5749,2020-06-05 00:00:00 UTC,Nasdaq closes in on record high after surprise jobs report,AAL,https://www.nasdaq.com/articles/nasdaq-closes-in-on-record-high-after-surprise-jobs-report-2020-06-05,,,nasdaq closes in on record high after surprise jobs report,employment
5753,2020-06-05 00:00:00 UTC,"Wall St jumps, Nasdaq set for record closing high after surprise jobs report",AAL,https://www.nasdaq.com/articles/wall-st-jumps-nasdaq-set-for-record-closing-high-after-surprise-jobs-report-2020-06-05,,,"wall st jumps, nasdaq set for record closing high after surprise jobs report",employment
5757,2020-06-05 00:00:00 UTC,Wall Street rallies to end higher on surprise U.S. jobs report,AAL,https://www.nasdaq.com/articles/wall-street-rallies-to-end-higher-on-surprise-u.s.-jobs-report-2020-06-05,,,wall street rallies to end higher on surprise u.s. jobs report,employment
5764,2020-06-05 00:00:00 UTC,Wall St set to open higher on surprise drop in unemployment rate,AAL,https://www.nasdaq.com/articles/wall-st-set-to-open-higher-on-surprise-drop-in-unemployment-rate-2020-06-05,,,wall st set to open higher on surprise drop in unemployment rate,employment
5784,2020-06-04 00:00:00 UTC,Wall Street ends four-day rally in advance of May jobs report,AAL,https://www.nasdaq.com/articles/wall-street-ends-four-day-rally-in-advance-of-may-jobs-report-2020-06-04,,,wall street ends four-day rally in advance of may jobs report,employment
12035,2023-12-16 18:00:00 UTC,Wall St futures inch up as investors pin hopes on Fed rate cuts,AAPL,https://www.nasdaq.com/articles/wall-st-futures-inch-up-as-investors-pin-hopes-on-fed-rate-cuts,,,wall st futures inch up as investors pin hopes on fed rate cuts,direct_rate_cut
13286,2023-10-04 00:00:00 UTC,Stocks Climb Before the Open as U.S. ADP Jobs Report Looms,AAPL,https://www.nasdaq.com/articles/stocks-climb-before-the-open-as-u.s.-adp-jobs-report-looms,,,stocks climb before the open as u.s. adp jobs report looms,employment
13293,2023-10-04 00:00:00 UTC,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Report in Focus",AAPL,https://www.nasdaq.com/articles/stocks-little-changed-before-the-open-as-bond-yields-stabilize-u.s.-adp-jobs-report-in,,,"stocks little changed before the open as bond yields stabilize, u.s. adp jobs report in focus",employment
13295,2023-10-04 00:00:00 UTC,Stocks Tread Water Before the Open as U.S. ADP Jobs Report Looms,AAPL,https://www.nasdaq.com/articles/stocks-tread-water-before-the-open-as-u.s.-adp-jobs-report-looms,,,stocks tread water before the open as u.s. adp jobs report looms,employment
13296,2023-10-04 00:00:00 UTC,Stocks Little Changed Before the Open as U.S. ADP Jobs Report Looms,AAPL,https://www.nasdaq.com/articles/stocks-little-changed-before-the-open-as-u.s.-adp-jobs-report-looms,,,stocks little changed before the open as u.s. adp jobs report looms,employment
13923,2023-09-07 00:00:00 UTC,Markets Today: Stocks Drop on Apple Weakness and U.S. Labor Market Strength,AAPL,https://www.nasdaq.com/articles/markets-today%3A-stocks-drop-on-apple-weakness-and-u.s.-labor-market-strength,,,markets today: stocks drop on apple weakness and u.s. labor market strength,employment
14460,2023-08-04 00:00:00 UTC,"US STOCKS-Wall Street closes lower after US jobs report, Apple weighs",AAPL,https://www.nasdaq.com/articles/us-stocks-wall-street-closes-lower-after-us-jobs-report-apple-weighs,,,"us stocks-wall street closes lower after us jobs report, apple weighs",employment
14464,2023-08-04 00:00:00 UTC,US STOCKS-Wall Street ends lower after US jobs report; Apple weighs,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-street-ends-lower-after-us-jobs-report-apple-weighs,,,us stocks-wall street ends lower after us jobs report; apple weighs,employment
14471,2023-08-04 00:00:00 UTC,GLOBAL MARKETS-Wall St extends gains on slowing but strong US labor market,AAPL,https://www.nasdaq.com/articles/global-markets-wall-st-extends-gains-on-slowing-but-strong-us-labor-market-0,,,global markets-wall st extends gains on slowing but strong us labor market,employment
14475,2023-08-04 00:00:00 UTC,Unemployment Rate Drops in July,AAPL,https://www.nasdaq.com/articles/unemployment-rate-drops-in-july,,,unemployment rate drops in july,employment
14487,2023-08-04 00:00:00 UTC,"Daily Markets: Apple, Amazon, and Jobs Report Leads the Way Today",AAPL,https://www.nasdaq.com/articles/daily-markets-apple-amazon-and-jobs-report-leads-the-way-today,,,"daily markets: apple, amazon, and jobs report leads the way today",employment
14626,2023-07-31 00:00:00 UTC,"US Stocks futures inch up ahead of more megacap earnings, employment data",AAPL,https://www.nasdaq.com/articles/us-stocks-futures-inch-up-ahead-of-more-megacap-earnings-employment-data,,,"us stocks futures inch up ahead of more megacap earnings, employment data",employment
14950,2023-07-10 00:00:00 UTC,"Unemployment Data, Social Media Happenings, and Stocks to Watch",AAPL,https://www.nasdaq.com/articles/unemployment-data-social-media-happenings-and-stocks-to-watch,,,,
16006,2023-05-05 00:00:00 UTC,"US STOCKS-Futures climb on Apple earnings cheer, key jobs report on tap",AAPL,https://www.nasdaq.com/articles/us-stocks-futures-climb-on-apple-earnings-cheer-key-jobs-report-on-tap,,,"us stocks-futures climb on apple earnings cheer, key jobs report on tap",employment
16415,2023-04-10 00:00:00 UTC,US STOCKS-Wall St set for lower open as jobs report stokes rate-hike worries,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-st-set-for-lower-open-as-jobs-report-stokes-rate-hike-worries,,,us stocks-wall st set for lower open as jobs report stokes rate-hike worries,employment
16861,2023-03-06 00:00:00 UTC,"US STOCKS-S&P 500 barely gains ahead of Powell testimony, jobs report",AAPL,https://www.nasdaq.com/articles/us-stocks-sp-500-barely-gains-ahead-of-powell-testimony-jobs-report,,,"us stocks-s&p 500 barely gains ahead of powell testimony, jobs report",employment
17229,2023-02-03 00:00:00 UTC,"GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report",AAPL,https://www.nasdaq.com/articles/global-markets-stocks-tumble-u.s.-bond-yields-rise-on-strong-jobs-report,,,"global markets-stocks tumble, u.s. bond yields rise on strong jobs report",employment
17236,2023-02-03 00:00:00 UTC,"GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report",AAPL,https://www.nasdaq.com/articles/global-markets-stocks-fall-u.s.-bond-yields-jump-on-strong-jobs-report,,,"global markets-stocks fall, u.s. bond yields jump on strong jobs report",employment
17243,2023-02-03 00:00:00 UTC,US STOCKS-Wall St pares declines after stunning jobs report,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-st-pares-declines-after-stunning-jobs-report,,,us stocks-wall st pares declines after stunning jobs report,employment
17246,2023-02-03 00:00:00 UTC,"GLOBAL MARKETS-Stocks, bonds tumble as stellar US jobs report may force Fed rethink",AAPL,https://www.nasdaq.com/articles/global-markets-stocks-bonds-tumble-as-stellar-us-jobs-report-may-force-fed-rethink,,,"global markets-stocks, bonds tumble as stellar us jobs report may force fed rethink",employment
17714,2023-01-06 00:00:00 UTC,US STOCKS-Wall St set to rally as December jobs report eases rate worries,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-st-set-to-rally-as-december-jobs-report-eases-rate-worries,,,us stocks-wall st set to rally as december jobs report eases rate worries,employment
17739,2023-01-04 00:00:00 UTC,US STOCKS-Wall St subdued as signs of tight labor market fuel rate hike fears,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-st-subdued-as-signs-of-tight-labor-market-fuel-rate-hike-fears,,,us stocks-wall st subdued as signs of tight labor market fuel rate hike fears,employment
18160,2022-12-02 00:00:00 UTC,US STOCKS-Wall St futures slide after robust November jobs report,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-st-futures-slide-after-robust-november-jobs-report,,,us stocks-wall st futures slide after robust november jobs report,employment
18161,2022-12-02 00:00:00 UTC,US STOCKS-S&P 500 ends slightly lower after jobs report,AAPL,https://www.nasdaq.com/articles/us-stocks-sp-500-ends-slightly-lower-after-jobs-report,,,us stocks-s&p 500 ends slightly lower after jobs report,employment
18163,2022-12-02 00:00:00 UTC,US STOCKS-Wall Street closes modestly lower after jobs report,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-street-closes-modestly-lower-after-jobs-report,,,us stocks-wall street closes modestly lower after jobs report,employment
18164,2022-12-02 00:00:00 UTC,US STOCKS-Wall Street falls as jobs report keeps Fed on hike path,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-street-falls-as-jobs-report-keeps-fed-on-hike-path,,,us stocks-wall street falls as jobs report keeps fed on hike path,employment
18605,2022-11-01 00:00:00 UTC,US STOCKS-Wall St slips as labor market data dims Fed deceleration hopes,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-st-slips-as-labor-market-data-dims-fed-deceleration-hopes,,,us stocks-wall st slips as labor market data dims fed deceleration hopes,employment
19514,2022-09-02 00:00:00 UTC,US STOCKS-Wall Street climbs after jobs report rekindles hopes of smaller rate hikes,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-street-climbs-after-jobs-report-rekindles-hopes-of-smaller-rate-hikes,,,us stocks-wall street climbs after jobs report rekindles hopes of smaller rate hikes,employment
19522,2022-09-02 00:00:00 UTC,US STOCKS-Wall Street rises after mixed August jobs report,AAPL,https://www.nasdaq.com/articles/us-stocks-wall-street-rises-after-mixed-august-jobs-report,,,us stocks-wall street rises after mixed august jobs report,employment
30512,2011-02-04 00:00:00 UTC,Stocks Mixed at Mid-Session After Employment Data Disappoints; Corporate Earnings Continue,ABR,https://www.nasdaq.com/articles/stocks-mixed-mid-session-after-employment-data-disappoints-corporate-earnings-continue,,,stocks mixed at mid-session after employment data disappoints; corporate earnings continue,employment
39167,2017-05-05 00:00:00 UTC,"Was the Last Jobs Report ""Transitory"" Too?",ACCO,https://www.nasdaq.com/articles/was-last-jobs-report-transitory-too-2017-05-05,,,"was the last jobs report ""transitory"" too?",employment
41251,2023-12-16 19:00:00 UTC,US STOCKS-Wall St set to open higher as investors pin hopes on Fed rate cuts,ACGLO,https://www.nasdaq.com/articles/us-stocks-wall-st-set-to-open-higher-as-investors-pin-hopes-on-fed-rate-cuts,,,us stocks-wall st set to open higher as investors pin hopes on fed rate cuts,direct_rate_cut
43384,2023-12-12 00:00:00 UTC,Wall St brokerages bring forward Fed rate cut expectations,ACGLO,https://www.nasdaq.com/articles/wall-st-brokerages-bring-forward-fed-rate-cut-expectations,,,wall st brokerages bring forward fed rate cut expectations,direct_rate_cut
43579,2023-12-12 00:00:00 UTC,CANADA STOCKS- TSX eyes higher open on Fed rate cut hopes,ACGLO,https://www.nasdaq.com/articles/canada-stocks-tsx-eyes-higher-open-on-fed-rate-cut-hopes,,,canada stocks- tsx eyes higher open on fed rate cut hopes,direct_rate_cut
43782,2023-12-12 00:00:00 UTC,"CANADA STOCKS-Toronto shares at 10-month high on commodities boost, Fed rate cut hopes",ACGLO,https://www.nasdaq.com/articles/canada-stocks-toronto-shares-at-10-month-high-on-commodities-boost-fed-rate-cut-hopes,,,"canada stocks-toronto shares at 10-month high on commodities boost, fed rate cut hopes",direct_rate_cut
44924,2023-12-11 00:00:00 UTC,Australian shares inch up; local employment data in focus,ACGLO,https://www.nasdaq.com/articles/australian-shares-inch-up-local-employment-data-in-focus,,,australian shares inch up; local employment data in focus,employment
45672,2023-12-10 00:00:00 UTC,Australia shares climb on rate-cut hopes; employment data in focus,ACGLO,https://www.nasdaq.com/articles/australia-shares-climb-on-rate-cut-hopes-employment-data-in-focus,,,australia shares climb on rate-cut hopes; employment data in focus,employment
45938,2023-12-08 00:00:00 UTC,Wall St set to dip as upbeat jobs report dampens rate-cut hopes,ACGLO,https://www.nasdaq.com/articles/wall-st-set-to-dip-as-upbeat-jobs-report-dampens-rate-cut-hopes,,,wall st set to dip as upbeat jobs report dampens rate-cut hopes,employment
46475,2023-12-07 00:00:00 UTC,"Lululemon, Broadcom Beat After-Hours; Jobs Report Tomorrow",ACGLO,https://www.nasdaq.com/articles/lululemon-broadcom-beat-after-hours-jobs-report-tomorrow,,,"lululemon, broadcom beat after-hours; jobs report tomorrow",employment
47181,2023-12-06 00:00:00 UTC,US STOCKS-S&P 500 end lower as investors weigh fresh employment data,ACGLO,https://www.nasdaq.com/articles/us-stocks-sp-500-end-lower-as-investors-weigh-fresh-employment-data,,,us stocks-s&p 500 end lower as investors weigh fresh employment data,employment
47215,2023-12-06 00:00:00 UTC,US STOCKS-S&P 500 flat as investors weigh fresh employment data,ACGLO,https://www.nasdaq.com/articles/us-stocks-sp-500-flat-as-investors-weigh-fresh-employment-data,,,us stocks-s&p 500 flat as investors weigh fresh employment data,employment
47382,2023-12-06 00:00:00 UTC,US STOCKS-Wall St rises as soft employment data supports rate cut bets,ACGLO,https://www.nasdaq.com/articles/us-stocks-wall-st-rises-as-soft-employment-data-supports-rate-cut-bets,,,us stocks-wall st rises as soft employment data supports rate cut bets,"direct_rate_cut, employment"
50626,2023-04-10 00:00:00 UTC,Daily Markets: What Investors Are Watching After Digesting March Jobs Report,ACI,https://www.nasdaq.com/articles/daily-markets-what-investors-are-watching-after-digesting-march-jobs-report,,,daily markets: what investors are watching after digesting march jobs report,employment
54458,2020-09-24 00:00:00 UTC,Wall Street set to open lower as labor market recovery cools,ACN,https://www.nasdaq.com/articles/wall-street-set-to-open-lower-as-labor-market-recovery-cools-2020-09-24,,,wall street set to open lower as labor market recovery cools,employment
68931,2023-11-03 00:00:00 UTC,Unemployment Rate Increased More Than Expected,ADP,https://www.nasdaq.com/articles/unemployment-rate-increased-more-than-expected,,,unemployment rate increased more than expected,employment
68960,2018-01-04 00:00:00 UTC,"Mid-Day Update: Record Highs Fueled by Bullish Labor Market Data; Dow Cracks 25,000",ADP,https://www.nasdaq.com/articles/mid-day-update-record-highs-fueled-bullish-labor-market-data-dow-cracks-25000-2018-01-04,,,"mid-day update: record highs fueled by bullish labor market data; dow cracks 25,000",employment
68977,2017-12-11 00:00:00 UTC,4 Best Staffing Stocks to Buy on Blockbuster Jobs Report,ADP,https://www.nasdaq.com/articles/4-best-staffing-stocks-buy-blockbuster-jobs-report-2017-12-11,,,4 best staffing stocks to buy on blockbuster jobs report,employment
69100,2017-07-07 00:00:00 UTC,Jobs Report Looks Good,ADP,https://www.nasdaq.com/articles/jobs-report-looks-good-2017-07-07,,,jobs report looks good,employment
69300,2016-10-07 00:00:00 UTC,Details in Jobs Report Suggest More Slack in U.S. Labor Market,ADP,https://www.nasdaq.com/articles/details-jobs-report-suggest-more-slack-us-labor-market-2016-10-07,,,details in jobs report suggest more slack in u.s. labor market,employment
69343,2016-08-03 00:00:00 UTC,ADP Shows Steady U.S. Labor Market,ADP,https://www.nasdaq.com/articles/adp-shows-steady-us-labor-market-2016-08-03,,,adp shows steady u.s. labor market,employment
69393,2016-06-02 00:00:00 UTC,ADP Sets Table for Jobs Report with Gain of 173K,ADP,https://www.nasdaq.com/articles/adp-sets-table-jobs-report-gain-173k-2016-06-02,,,adp sets table for jobs report with gain of 173k,employment
69394,2016-06-02 00:00:00 UTC,"Stock Futures Trading Lower as Oil Braces For OPEC Announcement, Jobs Report",ADP,https://www.nasdaq.com/articles/stock-futures-trading-lower-oil-braces-opec-announcement-jobs-report-2016-06-02,,,"stock futures trading lower as oil braces for opec announcement, jobs report",employment
69411,2016-05-05 00:00:00 UTC,Market in Wait-and-See Mode Ahead of Gov't Jobs Report,ADP,https://www.nasdaq.com/articles/market-wait-and-see-mode-ahead-govt-jobs-report-2016-05-05,,,market in wait-and-see mode ahead of gov't jobs report,employment
69413,2016-05-04 00:00:00 UTC,Weak ADP Number Shows Slowing Labor Market,ADP,https://www.nasdaq.com/articles/weak-adp-number-shows-slowing-labor-market-2016-05-04,,,weak adp number shows slowing labor market,employment
69477,2016-01-08 00:00:00 UTC,"China ‘Guides' Higher, Strong Jobs Report",ADP,https://www.nasdaq.com/articles/china-guides-higher-strong-jobs-report-2016-01-08,,,"china ‘guides' higher, strong jobs report",employment
69672,2015-01-07 00:00:00 UTC,Another Strong Labor Market Read - Ahead of Wall Street,ADP,https://www.nasdaq.com/articles/another-strong-labor-market-read-ahead-wall-street-2015-01-07,,,another strong labor market read - ahead of wall street,employment
69691,2014-12-03 00:00:00 UTC,"No Boost from ADP, Labor Market - Ahead of Wall Street",ADP,https://www.nasdaq.com/articles/no-boost-adp-labor-market-ahead-wall-street-2014-12-03,,,"no boost from adp, labor market - ahead of wall street",employment
69867,2014-01-10 00:00:00 UTC,Jobs Report - Weather or Not? - Ahead of Wall Street,ADP,https://www.nasdaq.com/articles/jobs-report-weather-or-not-ahead-wall-street-2014-01-10,,,jobs report - weather or not? - ahead of wall street,employment
69914,2013-10-02 00:00:00 UTC,What Jumped Out Of This Jobs Report? - Real Time Insight,ADP,https://www.nasdaq.com/articles/what-jumped-out-jobs-report-real-time-insight-2013-10-02,,,what jumped out of this jobs report? - real time insight,employment
69946,2013-07-05 00:00:00 UTC,Does the Jobs Report Guarantee Tapering in September? - Ahead of Wall Street,ADP,https://www.nasdaq.com/articles/does-jobs-report-guarantee-tapering-september-ahead-wall-street-2013-07-05,,,does the jobs report guarantee tapering in september? - ahead of wall street,employment
69998,2013-03-06 00:00:00 UTC,ADP Report Shows Labor Market Momentum - Ahead of Wall Street,ADP,https://www.nasdaq.com/articles/adp-report-shows-labor-market-momentum-ahead-wall-street-2013-03-06,,,adp report shows labor market momentum - ahead of wall street,employment
70058,2012-10-05 00:00:00 UTC,"Nonfarm Payrolls Decent, Revisions Impress - Analyst Blog",ADP,https://www.nasdaq.com/articles/nonfarm-payrolls-decent-revisions-impress-analyst-blog-2012-10-05,,,"nonfarm payrolls decent, revisions impress - analyst blog",employment
70082,2012-07-06 00:00:00 UTC,Nonfarm Payrolls Disappoint Again - Analyst Blog,ADP,https://www.nasdaq.com/articles/nonfarm-payrolls-disappoint-again-analyst-blog-2012-07-06,,,nonfarm payrolls disappoint again - analyst blog,employment
70090,2012-06-01 00:00:00 UTC,Troubling Labor Market Now a Trend - Analyst Blog,ADP,https://www.nasdaq.com/articles/troubling-labor-market-now-trend-analyst-blog-2012-06-01,,,troubling labor market now a trend - analyst blog,employment
70101,2012-05-04 00:00:00 UTC,Jobs Report Fails to Settle Debate - Analyst Blog,ADP,https://www.nasdaq.com/articles/jobs-report-fails-settle-debate-analyst-blog-2012-05-04,,,jobs report fails to settle debate - analyst blog,employment
70105,2012-05-02 00:00:00 UTC,ADP Sees Weakening Labor Market - Analyst Blog,ADP,https://www.nasdaq.com/articles/adp-sees-weakening-labor-market-analyst-blog-2012-05-02,,,adp sees weakening labor market - analyst blog,employment
70114,2012-04-04 00:00:00 UTC,ADP Jobs Report Comes In-Line - Analyst Blog,ADP,https://www.nasdaq.com/articles/adp-jobs-report-comes-line-analyst-blog-2012-04-04,,,adp jobs report comes in-line - analyst blog,employment
70137,2012-01-05 00:00:00 UTC,Good News for U.S. Labor Market - Analyst Blog,ADP,https://www.nasdaq.com/articles/good-news-us-labor-market-analyst-blog-2012-01-05,,,good news for u.s. labor market - analyst blog,employment
70148,2011-08-31 00:00:00 UTC,US Employment Data Spurs Risk Aversion,ADP,https://www.nasdaq.com/articles/us-employment-data-spurs-risk-aversion-2011-08-31,,,us employment data spurs risk aversion,employment
80619,2013-12-06 00:00:00 UTC,Midday Update: Stocks Rally on Strong Jobs Report as Traders Accept Good News as Good News,AEO,https://www.nasdaq.com/articles/midday-update-stocks-rally-strong-jobs-report-traders-accept-good-news-good-news-2013-12,,,midday update: stocks rally on strong jobs report as traders accept good news as good news,employment
80881,2011-01-06 00:00:00 UTC,"Mid-Day Update: Stocks Mixed as Retail Results, Employment Data Stymie Rally",AEO,https://www.nasdaq.com/articles/mid-day-update-stocks-mixed-retail-results-employment-data-stymie-rally-2011-01-06,,,"mid-day update: stocks mixed as retail results, employment data stymie rally",employment
82591,2023-10-06 00:00:00 UTC,S&P Futures Climb as Investors Await Key U.S. Jobs Report,AES,https://www.nasdaq.com/articles/sp-futures-climb-as-investors-await-key-u.s.-jobs-report,,,s&p futures climb as investors await key u.s. jobs report,employment
82592,2023-10-06 00:00:00 UTC,S&P Futures Tread Water as Investors Await Key U.S. Jobs Report,AES,https://www.nasdaq.com/articles/sp-futures-tread-water-as-investors-await-key-u.s.-jobs-report,,,s&p futures tread water as investors await key u.s. jobs report,employment
90675,2023-12-06 00:00:00 UTC,US STOCKS-Wall St ends lower as investors weigh fresh employment data,AFGD,https://www.nasdaq.com/articles/us-stocks-wall-st-ends-lower-as-investors-weigh-fresh-employment-data,,,us stocks-wall st ends lower as investors weigh fresh employment data,employment
95580,2016-06-03 00:00:00 UTC,Gold and Silver Miners Soar on the Heels of Weaker Employment Data -- Is This Just the Beginning?,AG,https://www.nasdaq.com/articles/gold-and-silver-miners-soar-heels-weaker-employment-data-just-beginning-2016-06-03,,,gold and silver miners soar on the heels of weaker employment data -- is this just the beginning?,employment
95606,2016-03-03 00:00:00 UTC,Dow Jones Surges Ahead of Jobs Report,AG,https://www.nasdaq.com/articles/dow-jones-surges-ahead-of-jobs-report-2016-03-03,,,dow jones surges ahead of jobs report,employment
97161,2015-01-09 00:00:00 UTC,US Futures Slip Ahead of Jobs Report,AGEN,https://www.nasdaq.com/articles/us-futures-slip-ahead-jobs-report-2015-01-09,,,us futures slip ahead of jobs report,employment
98027,2010-01-29 00:00:00 UTC,Will the Labor Market Follow the Surge in GDP?,AGG,https://www.nasdaq.com/articles/will-labor-market-follow-surge-gdp-2010-01-29,,,will the labor market follow the surge in gdp?,employment
107973,2018-06-04 00:00:00 UTC,"Wall Street Buoyed By Upbeat Geopolitics, May Labor Market Report",AGMH,https://www.nasdaq.com/articles/wall-street-buoyed-upbeat-geopolitics-may-labor-market-report-2018-06-04,,,"wall street buoyed by upbeat geopolitics, may labor market report",employment
109857,2021-09-03 00:00:00 UTC,Silver ETFs Surge As Precious Metals React To Disheartening Jobs Report,AGQ,https://www.nasdaq.com/articles/silver-etfs-surge-as-precious-metals-react-to-disheartening-jobs-report-2021-09-03,,,silver etfs surge as precious metals react to disheartening jobs report,employment
110981,2017-03-13 00:00:00 UTC,The Jobs Report Seals the Deal,AGX,https://www.nasdaq.com/articles/jobs-report-seals-deal-2017-03-13,,,the jobs report seals the deal,employment
115077,2021-08-06 00:00:00 UTC,US STOCKS-S&P 500 set for muted open as strong jobs report sparks inflation worries,AIG,https://www.nasdaq.com/articles/us-stocks-sp-500-set-for-muted-open-as-strong-jobs-report-sparks-inflation-worries-2021-08,,,us stocks-s&p 500 set for muted open as strong jobs report sparks inflation worries,employment
